ID,Name,date,Movella_1,Movella_2,Movella_3,Hexoskin_1,Hexoskin_2,Hexoskin_3,Video_1,Video_2,Video_3,Age,Exp,Size
1.0,P1,7-May,,112417.0,112644.0,3324350.0,3324351.0,3324354.0,1194.0,1194.0,1194.0,23.0,19.0,Small (S)
2.0,P2,7-May,114648.0,114911.0,115143.0,3324355.0,3324409.0,3324410.0,1195.0,1196.0,1197.0,34.0,31.0,Small (S)
3.0,P3,7-May,121019.0,121227.0,121412.0,3324420.0,3324421.0,3324422.0,1198.0,1199.0,1200.0,27.0,20.0,Large (L)
4.0,P4,7-May,123133.0,123323.0,123508.0,3324428.0,3324429.0,3324430.0,1201.0,1202.0,1203.0,31.0,27.0,Medium (M)
5.0,P5,7-May,153355.0,153632.0,153826.0,3324509.0,3324510.0,3324511.0,822.0,823.0,824.0,32.0,27.0,Small (S)
6.0,P6,7-May,161302.0,161515.0,161723.0,3324512.0,3324513.0,3324514.0,825.0,826.0,827.0,29.0,25.0,Small (S)
7.0,P7,9-May,163626.0,163818.0,164031.0,3324515.0,3324516.0,,828.0,829.0,830.0,30.0,26.0,Medium (M)
8.0,P8,9-May,151514.0,151744.0,152007.0,3325691.0,3325692.0,3325693.0,1204.0,1205.0,1206.0,27.0,22.0,Medium (M)
9.0,P9,9-May,153546.0,153807.0,154036.0,3325803.0,3325804.0,3325878.0,1207.0,1208.0,1209.0,22.0,8.0,Medium (M)
10.0,P10,9-May,163148.0,163445.0,163809.0,3325880.0,3325881.0,3325882.0,1210.0,1211.0,1212.0,23.0,12.0,2 Extra Small (2XS)
11.0,P11,9-May,165745.0,165927.0,170159.0,3325883.0,3325884.0,3325885.0,1213.0,1214.0,1215.0,28.0,24.0,Small (S)
12.0,P12,15-May,140722.0,140952.0,141129.0,3328838.0,3328839.0,3328840.0,1216.0,1217.0,1218.0,27.0,20.0,Extra Large (XL)
13.0,P13,15-May,143827.0,144017.0,144228.0,3328848.0,3328849.0,3328850.0,1219.0,1220.0,1221.0,24.0,19.0,Medium (M)
14.0,P14,15-May,151432.0,151625.0,151822.0,3328853.0,3328854.0,3328855.0,1222.0,1223.0,1224.0,24.0,15.0,Large (L)
15.0,P15,15-May,153959.0,154158.0,154357.0,3328871.0,3328872.0,3328873.0,1225.0,1226.0,1227.0,43.0,31.0,Small (S)
16.0,P16,15-May,155844.0,160048.0,160244.0,3328878.0,3328879.0,3328880.0,1228.0,1229.0,1230.0,35.0,26.0,Medium (M)
17.0,P17,15-May,164059.0,164310.0,164513.0,3328884.0,3328885.0,3328886.0,1231.0,1232.0,1233.0,26.0,15.0,Medium (M)
18.0,P18,16-May,103530.0,103753.0,102231.0,3329140.0,3329141.0,3329099.0,1237.0,1238.0,1239.0,23.0,18.0,Extra Small (XS)
19.0,P19,16-May,105037.0,105306.0,105609.0,3329188.0,3329189.0,3329233.0,1240.0,1241.0,1242.0,23.0,18.0,Medium (M)
20.0,P20,20-May,124846.0,125044.0,125249.0,3331484.0,3331485.0,3331486.0,1246.0,1247.0,1248.0,30.0,20.0,Extra Small (XS)
21.0,P21,20-May,131548.0,131755.0,132043.0,3331568.0,3331569.0,3331572.0,1249.0,1250.0,1251.0,22.0,18.0,Medium (M)
22.0,P22,20-May,134521.0,134706.0,134928.0,3331670.0,3331671.0,3331766.0,1252.0,1253.0,1254.0,30.0,24.0,Large (L)
24.0,P24,23-May,94143.0,94348.0,94540.0,3333661.0,3333662.0,3333663.0,1258.0,1259.0,1260.0,29.0,25.0,Medium (M)
25.0,P25,23-May,100023.0,100204.0,100346.0,3333664.0,3333665.0,3333666.0,1261.0,1262.0,1263.0,26.0,18.0,Medium (M)
26.0,P26,23-May,103906.0,104110.0,104306.0,3333667.0,3333668.0,3333669.0,1264.0,1265.0,1266.0,25.0,15.0,Medium (M)
27.0,P27,23-May,110457.0,110701.0,110909.0,3333675.0,3333676.0,3333677.0,1267.0,1268.0,1269.0,28.0,25.0,Small (S)
28.0,P28,26-May,160911.0,161133.0,161428.0,3334287.0,3334288.0,3334289.0,1270.0,1271.0,1272.0,29.0,11.0,Medium (M)
29.0,P29,26-May,164006.0,164201.0,164327.0,3334294.0,3334295.0,3334296.0,1273.0,1274.0,1275.0,24.0,20.0,Medium (M)
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
