participant,participant_id,piece,video,condition,audio_file,trim_start_s,trim_stop_s,audio_duration_s,key,mode,key_strength,is_minor,chroma_entropy_mean,chroma_entropy_sd,key_stability,chroma_flux_mean,tempo_bpm,rms_mean,rms_sd,spectral_centroid_mean,onset_rate_hz,harmonic_ratio
P11,11,1,1,sight_reading,P11_video1_IMG1213.mp3,1.49,69.68,68.19002267573696,G,minor,0.8867075851589264,1,2.567885637283325,0.5444220900535583,0.2811132075889657,0.0493918173015117,86.1328125,0.0526726804673671,0.0376446023583412,768.3394540908847,1.9211021621585676,0.8269128464259751
P11,11,2,2,sight_reading,P11_video2_IMG1214.mp3,1.81,62.83,61.02,G,minor,0.8463046314708457,1,2.82441782951355,0.4547699987888336,0.3210636057171336,0.0629431530833244,112.34714673913044,0.0618954077363014,0.0441843904554843,753.6433406212228,2.7695837430350703,0.8026608933840961
P11,11,3,3,self_selected,P11_video3_IMG1215.mp3,2.14,124.34,122.2,F,major,0.920569005826162,0,3.0069141387939453,0.2933203876018524,0.3934753673901089,0.0391784235835075,184.5703125,0.058127038180828,0.0441528372466564,689.6822224638199,1.7430441898527005,0.8154276916784053
P12,12,1,1,sight_reading,P12_video1_IMG1216.mp3,2.69,96.8,94.11002267573696,G,minor,0.8771548085017141,1,2.737923622131348,0.4433338642120361,0.2975547057692867,0.0323159769177436,63.02400914634146,0.0576465316116809,0.0412178300321102,596.0336962658162,1.434491206799009,0.8425856282472599
P12,12,2,2,sight_reading,P12_video2_IMG1217.mp3,0.7,55.54,54.840045351473925,G,major,0.8175764434346963,0,2.828638792037964,0.4662519693374634,0.3572253642256479,0.0561618171632289,151.99908088235293,0.0682632401585578,0.0436578206717968,697.6258944301001,3.0999244969703685,0.8153682267051648
P12,12,3,3,self_selected,P12_video3_IMG1218.mp3,1.02,175.52,174.5,G,minor,0.902645808996724,1,2.8477976322174072,0.306953102350235,0.5098268084774921,0.0377866923809051,129.19921875,0.080402985215187,0.0387475080788135,587.5353944746113,2.722063037249284,0.8587511512873923
P13,13,1,1,sight_reading,P13_video1_IMG1219.mp3,1.81,70.73,68.92,G,minor,0.8616358735797741,1,2.5896425247192383,0.5106656551361084,0.3099834195733192,0.043114386498928,86.1328125,0.0622017793357372,0.0411849878728389,692.7675539067493,1.886244921648288,0.8155717918762881
P13,13,2,2,sight_reading,P13_video2_IMG1220.mp3,0.12,66.36,66.24,G,minor,0.7670394364002269,1,2.9117650985717773,0.3902766108512878,0.349055840517536,0.0539730563759803,117.45383522727272,0.0711259990930557,0.0472818203270435,702.6605009167655,2.989130434782609,0.8337405044789714
P13,13,3,3,self_selected,P13_video3_IMG1221.mp3,3.76,56.87,53.10997732426304,G#,minor,0.6947451582072075,1,3.1309194564819336,0.2173819839954376,0.4464443280990188,0.0510041341185569,143.5546875,0.0777183845639228,0.0430537685751915,704.4653992648523,4.669555750058707,0.8412996956646133
P14,14,1,1,sight_reading,P14_video1_IMG1222.mp3,1.42,80.36,78.94,G,minor,0.8684167317059261,1,2.7808854579925537,0.4810298681259155,0.3306682157387804,0.0354865305125713,80.74951171875,0.0522331558167934,0.0410368405282497,624.4785524051965,1.7228274638966303,0.8149750804821365
