participant,participant_id,piece,condition,window_s,n_sensors,motion_energy,jerk_mean,motion_dur_s
P1,1,1,sight_reading,60.0,0,,,
P1,1,2,sight_reading,60.0,3,2.367590001760887,55.26903161348145,60.0
P1,1,3,self_selected,60.0,3,1.4309196325029514,28.51322387688614,60.0
P2,2,1,sight_reading,60.0,3,0.8510808891670124,27.17620645592352,60.0
P2,2,2,sight_reading,60.0,3,1.8837619819927174,60.00748051533625,60.0
P2,2,3,self_selected,60.0,3,2.722922319177011,89.88985887215347,47.18888888888889
P3,3,1,sight_reading,60.0,3,0.6900823185717416,20.434374260749383,60.0
P3,3,2,sight_reading,60.0,3,2.4429203764662932,67.06797303444883,60.0
P3,3,3,self_selected,60.0,3,2.2719835567280797,56.32766187477315,60.0
P4,4,1,sight_reading,60.0,3,1.1014691243398926,24.098484510716165,60.0
P4,4,2,sight_reading,60.0,3,1.9037321827789988,52.727256310429105,60.0
P4,4,3,self_selected,60.0,3,0.719211729370364,17.230539694722484,60.0
P5,5,1,sight_reading,60.0,3,0.701483501113039,16.482296631189566,60.0
P5,5,2,sight_reading,60.0,3,1.6213140992140815,44.72998974100492,60.0
P5,5,3,self_selected,60.0,3,0.9618400345734219,23.43355033660967,60.0
P6,6,1,sight_reading,60.0,2,0.46821386464285863,11.733285919724324,60.0
P6,6,2,sight_reading,60.0,3,3.027354793684045,71.85957662359397,60.0
P6,6,3,self_selected,60.0,3,1.1879521471446812,37.3565833667947,60.0
P7,7,1,sight_reading,60.0,3,0.6570256949930391,19.79341390407164,60.0
P7,7,2,sight_reading,60.0,3,1.2680237573843167,33.062641508019645,60.0
P7,7,3,self_selected,60.0,3,1.22950929281175,28.695114482457353,60.0
P8,8,1,sight_reading,60.0,3,0.582465821651443,14.241250145377117,60.0
P8,8,2,sight_reading,60.0,3,1.8615228416607579,47.86891213129726,60.0
P8,8,3,self_selected,60.0,3,2.5466716946857146,84.13303544152213,60.0
P9,9,1,sight_reading,60.0,3,0.6411228493929187,14.308702996871986,60.0
P9,9,2,sight_reading,60.0,3,0.8809301010624689,27.553480891124224,60.0
P9,9,3,self_selected,60.0,3,1.2162362201350028,27.928741695734896,60.0
P10,10,1,sight_reading,60.0,3,0.49973540963580376,14.509452754979472,60.0
P10,10,2,sight_reading,60.0,3,0.693214015835702,18.017459676528514,60.0
P10,10,3,self_selected,60.0,3,1.02031239766222,28.712577664742312,60.0
P11,11,1,sight_reading,60.0,3,0.7848874088294773,22.825899368029436,60.0
P11,11,2,sight_reading,60.0,3,1.8870111470104003,46.08731242446205,60.0
P11,11,3,self_selected,60.0,3,1.2519788670299112,32.384557644778965,60.0
P12,12,1,sight_reading,60.0,2,0.5299152014407434,10.58441289413161,60.0
P12,12,2,sight_reading,60.0,3,1.3173265135840724,39.230338025501425,58.13333333333333
P12,12,3,self_selected,60.0,3,1.2815752450663793,31.577091324264188,60.0
P13,13,1,sight_reading,60.0,3,0.9433361812414448,29.38322680560076,60.0
P13,13,2,sight_reading,60.0,3,1.8678977632226985,56.47961186888697,60.0
P13,13,3,self_selected,60.0,3,3.0820765933543632,115.03329082966006,58.97777777777778
P14,14,1,sight_reading,60.0,3,0.6031253207824246,19.394496276066977,60.0
P14,14,2,sight_reading,60.0,3,1.0938547609649694,33.211651371442024,60.0
P14,14,3,self_selected,60.0,3,1.1618289302116638,40.82719943574493,60.0
P15,15,1,sight_reading,60.0,3,0.8184315139908431,22.011634035773977,60.0
P15,15,2,sight_reading,60.0,3,1.7668984713414535,50.121545259043494,60.0
P15,15,3,self_selected,60.0,3,2.147356558869235,75.74962225387584,60.0
P16,16,1,sight_reading,60.0,3,0.6485640179857087,15.233414858753862,60.0
P16,16,2,sight_reading,60.0,3,2.131171286677143,54.61932754046364,60.0
P16,16,3,self_selected,60.0,3,0.7766510579582754,22.331634841346844,60.0
P17,17,1,sight_reading,60.0,3,0.5552914388768639,14.031921422202805,60.0
P17,17,2,sight_reading,60.0,3,1.407600182114533,35.6217333641953,60.0
P17,17,3,self_selected,60.0,3,0.5364673368194427,15.900306628922301,60.0
P18,18,1,sight_reading,60.0,3,0.5429091918043405,14.799050892168259,60.0
P18,18,2,sight_reading,60.0,2,1.2331814320446222,20.691431442720216,60.0
P18,18,3,self_selected,60.0,0,,,
P19,19,1,sight_reading,60.0,3,0.44177218068359886,12.34922074585644,60.0
P19,19,2,sight_reading,60.0,3,1.742974499094193,46.97168168844568,60.0
P19,19,3,self_selected,60.0,3,1.6596488207626638,35.773624625854445,60.0
P20,20,1,sight_reading,60.0,2,0.8067034100016433,26.023833300401428,60.0
P20,20,2,sight_reading,60.0,2,2.0858674884398045,56.988202458231996,60.0
P20,20,3,self_selected,60.0,2,3.0323180347256624,117.0036148354639,60.0
P21,21,1,sight_reading,60.0,2,1.2041274269218816,27.45708803363534,60.0
P21,21,2,sight_reading,60.0,2,2.154969361893868,55.018002263542876,60.0
P21,21,3,self_selected,60.0,2,1.8984939956495661,37.567800301706136,60.0
P22,22,1,sight_reading,60.0,2,1.125213266672709,33.207732603994906,60.0
P22,22,2,sight_reading,60.0,2,2.593686827566886,69.73041949693494,60.0
P22,22,3,self_selected,60.0,2,3.967044030125912,95.88773983839093,60.0
P24,24,1,sight_reading,60.0,3,0.6569032840852221,15.058719294195248,60.0
P24,24,2,sight_reading,60.0,3,1.9575423734332638,50.84023948968885,60.0
P24,24,3,self_selected,60.0,3,1.7039690870765114,32.24190707228481,60.0
P25,25,1,sight_reading,60.0,0,,,
P25,25,2,sight_reading,60.0,3,1.5558229181287917,35.21917906595866,60.0
P25,25,3,self_selected,60.0,3,0.8557516651787114,15.954076575809694,60.0
P26,26,1,sight_reading,60.0,3,0.7954229477127971,22.167651021142195,60.0
P26,26,2,sight_reading,60.0,3,2.7362572256539597,73.47360648805724,60.0
P26,26,3,self_selected,60.0,3,6.287862141114508,133.36581927327143,60.0
P27,27,1,sight_reading,60.0,3,0.4810045794270845,12.661463610369466,60.0
P27,27,2,sight_reading,60.0,1,0.2584913873357975,8.816307592902517,60.0
P27,27,3,self_selected,60.0,3,1.600515014758721,49.77306824736785,60.0
P28,28,1,sight_reading,60.0,2,1.0749878830910566,33.170511726703104,60.0
P28,28,2,sight_reading,60.0,3,0.8814201693302016,25.747691359484463,60.0
P28,28,3,self_selected,60.0,3,2.7476456303864594,107.73734688315172,60.0
P29,29,1,sight_reading,60.0,3,0.9593263263207542,24.431608540558766,60.0
P29,29,2,sight_reading,60.0,3,2.187650323111344,61.39492412819424,60.0
P29,29,3,self_selected,60.0,3,2.848931690126372,123.0630595533216,60.0
