participant,participant_id,piece,audio_total_s,music_start_s,music_stop_s,music_dur_s,n_segments,hex_dur_s,music_minus_hex_s,needs_manual
P10,10,1,139.32,1.63,138.51,136.88,36,,,True
P10,10,2,129.89,2.81,129.45,126.64,44,,,True
P10,10,3,288.99,1.76,288.97,287.21,27,,,True
P11,11,1,74.05,1.49,69.68,68.2,13,75.0,-6.8,False
P11,11,2,65.69,1.81,62.83,61.02,23,68.0,-6.98,False
P11,11,3,126.06,2.14,124.34,122.21,16,130.0,-7.79,False
P12,12,1,100.45,2.69,96.8,94.11,8,103.0,-8.89,False
P12,12,2,58.23,0.7,55.54,54.85,12,63.0,-8.15,False
P12,12,3,178.56,1.02,175.52,174.5,3,182.0,-7.5,False
P13,13,1,73.4,1.81,70.73,68.92,9,84.0,-15.08,False
P13,13,2,69.26,0.12,66.36,66.25,14,71.0,-4.75,False
P13,13,3,57.98,3.76,56.87,53.1,10,59.0,-5.9,False
P14,14,1,80.9,1.42,80.36,78.95,20,82.0,-3.05,False
P14,14,2,78.74,1.02,75.84,74.81,37,80.0,-5.19,False
P14,14,3,193.61,4.02,192.21,188.2,26,193.0,-4.8,False
P15,15,1,92.23,1.39,87.31,85.91,17,95.0,-9.09,False
P15,15,2,76.97,1.3,72.96,71.66,36,79.0,-7.34,False
P15,15,3,70.84,1.63,67.43,65.81,6,74.0,-8.19,False
P16,16,1,83.59,0.02,79.81,79.78,14,89.0,-9.22,False
P16,16,2,85.94,1.07,82.36,81.29,29,80.0,1.29,False
P16,16,3,212.28,1.39,207.31,205.91,13,206.0,-0.09,False
P17,17,1,105.28,3.23,104.19,100.96,19,,,True
P17,17,2,87.1,1.81,83.31,81.5,35,,,True
P17,17,3,254.42,0.3,253.65,253.35,23,,,True
P18,18,1,711.67,2.04,710.81,708.77,48,115.0,593.77,True
P18,18,2,112.06,0.0,108.72,108.72,19,87.0,21.72,False
P18,18,3,85.68,2.23,84.5,82.27,26,714.0,-631.73,True
P19,19,1,126.27,3.81,122.09,118.28,17,126.0,-7.72,False
P19,19,2,83.47,1.42,81.92,80.5,25,85.0,-4.5,False
P19,19,3,167.6,3.99,163.79,159.8,14,170.0,-10.2,False
P1,1,1,524.03,5.25,523.38,518.13,138,70.0,448.13,True
P1,1,2,524.03,5.25,523.38,518.13,138,76.0,442.13,True
P1,1,3,524.03,5.25,523.38,518.13,138,230.0,288.13,True
P20,20,1,82.8,3.3,82.5,79.2,15,,,True
P20,20,2,77.97,2.37,75.56,73.19,26,,,True
P20,20,3,161.15,1.56,161.03,159.47,7,,,True
P21,21,1,92.34,4.69,89.72,85.03,18,99.0,-13.97,False
P21,21,2,96.06,2.16,95.94,93.79,37,96.0,-2.21,False
P21,21,3,948.93,0.91,948.93,948.02,45,955.0,-6.98,False
P22,22,1,76.6,2.65,73.12,70.47,10,80.0,-9.53,False
P22,22,2,70.05,1.74,69.92,68.17,24,72.0,-3.83,False
P22,22,3,176.56,1.37,175.1,173.73,85,179.0,-5.27,False
P24,24,1,97.36,1.65,93.74,92.09,21,104.0,-11.91,False
P24,24,2,72.84,3.39,71.1,67.71,18,76.0,-8.29,False
P24,24,3,113.4,3.44,110.13,106.7,20,114.06,-7.36,False
P25,25,1,63.92,1.65,61.37,59.72,7,71.0,-11.28,False
P25,25,2,59.02,0.0,57.05,57.05,18,71.0,-13.95,False
P25,25,3,87.77,5.5,87.77,82.27,9,89.0,-6.73,False
P26,26,1,86.68,1.23,83.62,82.38,9,97.0,-14.62,False
P26,26,2,78.48,3.53,75.98,72.45,23,78.0,-5.55,False
P26,26,3,181.65,5.25,180.47,175.22,23,187.0,-11.78,False
P27,27,1,101.14,2.0,97.15,95.16,19,102.0,-6.84,False
P27,27,2,67.1,1.86,64.97,63.11,10,68.0,-4.89,False
P27,27,3,459.54,3.32,459.2,455.88,18,460.0,-4.12,False
P28,28,1,110.8,1.63,110.2,108.58,33,112.0,-3.42,False
P28,28,2,135.14,0.09,132.86,132.77,63,137.0,-4.23,False
P28,28,3,132.65,1.46,130.75,129.29,3,134.0,-4.71,False
P29,29,1,89.7,1.0,85.94,84.94,13,92.0,-7.06,False
P29,29,2,60.35,0.05,60.35,60.3,17,65.0,-4.7,False
P29,29,3,126.01,1.74,124.04,122.3,2,129.0,-6.7,False
P2,2,1,112.22,7.66,109.88,102.21,19,99.0,3.21,False
P2,2,2,89.14,0.58,85.36,84.78,19,81.0,3.78,False
P2,2,3,40.56,1.0,37.15,36.15,1,53.0,-16.85,False
P3,3,1,93.85,2.97,91.32,88.35,22,92.0,-3.65,False
P3,3,2,80.6,7.76,80.04,72.28,23,69.0,3.28,False
P3,3,3,107.32,2.83,107.25,104.42,21,107.0,-2.58,False
P4,4,1,83.68,2.23,82.06,79.83,18,84.0,-4.17,False
P4,4,2,65.43,4.81,64.69,59.88,14,67.0,-7.12,False
P4,4,3,124.53,5.46,123.79,118.33,20,123.0,-4.67,False
P5,5,1,160.33,0.58,158.8,158.22,52,106.0,52.22,True
P5,5,2,70.12,0.58,69.66,69.08,14,71.0,-1.92,False
P5,5,3,285.07,0.26,283.96,283.7,77,289.0,-5.3,False
P6,6,1,100.94,1.58,100.45,98.87,21,105.0,-6.13,False
P6,6,2,77.3,0.19,76.25,76.07,35,72.0,4.07,False
P6,6,3,290.13,4.78,289.34,284.56,20,291.0,-6.44,False
P7,7,1,82.87,0.16,82.22,82.06,25,86.0,-3.94,False
P7,7,2,84.17,0.37,83.55,83.17,23,82.0,1.17,False
P7,7,3,108.95,2.95,108.0,105.05,19,,,True
P8,8,1,116.4,5.85,113.78,107.93,27,115.0,-7.07,False
P8,8,2,85.26,2.83,84.75,81.92,26,89.0,-7.08,False
P8,8,3,238.17,1.86,237.93,236.08,9,251.0,-14.92,False
P9,9,1,101.26,3.81,99.47,95.67,18,102.0,-6.33,False
P9,9,2,76.9,0.0,76.28,76.28,31,81.0,-4.72,False
P9,9,3,384.13,5.5,377.49,371.98,14,381.0,-9.02,False
