participant,participant_id,p1_music_start,p1_music_stop,p1_music_dur,p1_hex_dur,p2_music_start,p2_music_stop,p2_music_dur,p2_hex_dur,p3_music_start,p3_music_stop,p3_music_dur,p3_hex_dur
P1,1,5.25,523.38,518.13,70.0,5.25,523.38,518.13,76.0,5.25,523.38,518.13,230.0
P2,2,7.66,109.88,102.21,99.0,0.58,85.36,84.78,81.0,1.0,37.15,36.15,53.0
P3,3,2.97,91.32,88.35,92.0,7.76,80.04,72.28,69.0,2.83,107.25,104.42,107.0
P4,4,2.23,82.06,79.83,84.0,4.81,64.69,59.88,67.0,5.46,123.79,118.33,123.0
P5,5,0.58,158.8,158.22,106.0,0.58,69.66,69.08,71.0,0.26,283.96,283.7,289.0
P6,6,1.58,100.45,98.87,105.0,0.19,76.25,76.07,72.0,4.78,289.34,284.56,291.0
P7,7,0.16,82.22,82.06,86.0,0.37,83.55,83.17,82.0,2.95,108.0,105.05,
P8,8,5.85,113.78,107.93,115.0,2.83,84.75,81.92,89.0,1.86,237.93,236.08,251.0
P9,9,3.81,99.47,95.67,102.0,0.0,76.28,76.28,81.0,5.5,377.49,371.98,381.0
P10,10,1.63,138.51,136.88,,2.81,129.45,126.64,,1.76,288.97,287.21,
P11,11,1.49,69.68,68.2,75.0,1.81,62.83,61.02,68.0,2.14,124.34,122.21,130.0
P12,12,2.69,96.8,94.11,103.0,0.7,55.54,54.85,63.0,1.02,175.52,174.5,182.0
P13,13,1.81,70.73,68.92,84.0,0.12,66.36,66.25,71.0,3.76,56.87,53.1,59.0
P14,14,1.42,80.36,78.95,82.0,1.02,75.84,74.81,80.0,4.02,192.21,188.2,193.0
P15,15,1.39,87.31,85.91,95.0,1.3,72.96,71.66,79.0,1.63,67.43,65.81,74.0
P16,16,0.02,79.81,79.78,89.0,1.07,82.36,81.29,80.0,1.39,207.31,205.91,206.0
P17,17,3.23,104.19,100.96,,1.81,83.31,81.5,,0.3,253.65,253.35,
P18,18,2.04,710.81,708.77,115.0,0.0,108.72,108.72,87.0,2.23,84.5,82.27,714.0
P19,19,3.81,122.09,118.28,126.0,1.42,81.92,80.5,85.0,3.99,163.79,159.8,170.0
P20,20,3.3,82.5,79.2,,2.37,75.56,73.19,,1.56,161.03,159.47,
P21,21,4.69,89.72,85.03,99.0,2.16,95.94,93.79,96.0,0.91,948.93,948.02,955.0
P22,22,2.65,73.12,70.47,80.0,1.74,69.92,68.17,72.0,1.37,175.1,173.73,179.0
P24,24,1.65,93.74,92.09,104.0,3.39,71.1,67.71,76.0,3.44,110.13,106.7,114.06
P25,25,1.65,61.37,59.72,71.0,0.0,57.05,57.05,71.0,5.5,87.77,82.27,89.0
P26,26,1.23,83.62,82.38,97.0,3.53,75.98,72.45,78.0,5.25,180.47,175.22,187.0
P27,27,2.0,97.15,95.16,102.0,1.86,64.97,63.11,68.0,3.32,459.2,455.88,460.0
P28,28,1.63,110.2,108.58,112.0,0.09,132.86,132.77,137.0,1.46,130.75,129.29,134.0
P29,29,1.0,85.94,84.94,92.0,0.05,60.35,60.3,65.0,1.74,124.04,122.3,129.0
