test,metric,n_pairs,median_self,median_read,effect_rank_biserial,stat,p_value,p_perm,family,p_fdr,outcome,predictor,adjusted_for,n_obs,n_groups,beta
condition_contrast,rmssd_ms,22.0,19.002424655101876,21.045526282716622,-0.20948616600790515,100.0,0.4060330390930176,0.3043695630436956,condition_contrast,0.4872396469116211,,,,,,
condition_contrast,mean_hr_bpm,22.0,96.36251022978706,95.18918805478395,-0.05928853754940711,119.0,0.8237285614013672,0.7551244875512448,condition_contrast,0.8237285614013672,,,,,,
condition_contrast,RSA_P2T_Mean,22.0,16.95902762700825,14.037390380163817,0.47035573122529645,67.0,0.0542454719543457,0.3427657234276572,condition_contrast,0.1084909439086914,,,,,,
condition_contrast,resp_rate,24.0,20.230926670466594,21.440052985822035,-0.30666666666666664,104.0,0.19737839698791504,0.18438156184381563,condition_contrast,0.29606759548187256,,,,,,
condition_contrast,hf_coherence,24.0,0.16607638144358244,0.309217208029984,-0.74,39.0,0.0008462667465209961,0.0006999300069993001,condition_contrast,0.004738926887512207,,,,,,
condition_contrast,hr_resp_xcorr_peak,24.0,0.3075449935893151,0.42906129914342994,-0.7066666666666667,44.0,0.0015796422958374023,0.0012998700129987,condition_contrast,0.004738926887512207,,,,,,
friedman_pieces,rmssd_ms,22.0,,,,3.363636363636374,0.18603542213433477,,friedman_pieces,0.18603542213433477,,,,,,
friedman_pieces,mean_hr_bpm,22.0,,,,12.636363636363626,0.0018032191077045371,,friedman_pieces,0.0036064382154090743,,,,,,
friedman_pieces,RSA_P2T_Mean,22.0,,,,6.636363636363626,0.03621862396839698,,friedman_pieces,0.048291498624529305,,,,,,
friedman_pieces,resp_rate,24.0,,,,18.083333333333314,0.00011837338298384846,,friedman_pieces,0.00047349353193539386,,,,,,
p3_ols,,,,,,,0.3792145780127374,,music_p3,0.730918567087448,rmssd_ms,chroma_entropy_mean,-,22.0,22.0,-1.919081948021879
p3_ols,,,,,,,0.25870786275212376,,music_p3,0.6327597794598085,rmssd_ms,is_minor,-,22.0,22.0,2.4491671444244583
p3_ols,,,,,,,0.6162236436154693,,music_p3,0.7608898188843772,rmssd_ms,tempo_bpm,-,22.0,22.0,-1.1011814926880403
p3_ols,,,,,,,0.5333129069877589,,music_p3,0.7608898188843772,rmssd_ms,onset_rate_hz,-,22.0,22.0,1.3662638564921128
p3_ols,,,,,,,0.9179963600312605,,music_p3,0.9179963600312605,rmssd_ms,rms_mean,-,22.0,22.0,-0.2269043509513633
p3_ols,,,,,,,0.2812265686488038,,music_p3,0.6327597794598085,rmssd_ms,chroma_entropy_mean,tempo_bpm+rms_mean,22.0,22.0,-2.586785901995582
p3_ols,,,,,,,0.148143296957027,,music_p3,0.6327597794598085,mean_hr_bpm,chroma_entropy_mean,-,22.0,22.0,6.0521423112479535
p3_ols,,,,,,,0.5761827023399633,,music_p3,0.7608898188843772,mean_hr_bpm,is_minor,-,22.0,22.0,-2.3929379869012544
p3_ols,,,,,,,0.6398397665579507,,music_p3,0.7608898188843772,mean_hr_bpm,tempo_bpm,-,22.0,22.0,2.005576236482802
p3_ols,,,,,,,0.27867630615398414,,music_p3,0.6327597794598085,mean_hr_bpm,onset_rate_hz,-,22.0,22.0,-4.586794055803976
p3_ols,,,,,,,0.27635308245852885,,music_p3,0.6327597794598085,mean_hr_bpm,rms_mean,-,22.0,22.0,4.608356944148326
p3_ols,,,,,,,0.06976123689137251,,music_p3,0.6278511320223527,mean_hr_bpm,chroma_entropy_mean,tempo_bpm+rms_mean,22.0,22.0,7.898676098079557
p3_ols,,,,,,,0.6985021761578681,,music_p3,0.7608898188843772,RSA_P2T_Mean,chroma_entropy_mean,-,22.0,22.0,2.9967419353793154
p3_ols,,,,,,,0.03564882275841086,,music_p3,0.6278511320223527,RSA_P2T_Mean,is_minor,-,22.0,22.0,15.402859192645185
p3_ols,,,,,,,0.2035174410860996,,music_p3,0.6327597794598085,RSA_P2T_Mean,tempo_bpm,-,22.0,22.0,9.655290019558462
p3_ols,,,,,,,0.6728571744812359,,music_p3,0.7608898188843772,RSA_P2T_Mean,onset_rate_hz,-,22.0,22.0,3.265463599692509
p3_ols,,,,,,,0.7186181622796896,,music_p3,0.7608898188843772,RSA_P2T_Mean,rms_mean,-,22.0,22.0,-2.78829086708304
p3_ols,,,,,,,0.4060658706041378,,music_p3,0.730918567087448,RSA_P2T_Mean,chroma_entropy_mean,tempo_bpm+rms_mean,22.0,22.0,6.831836879572528
all_lmm,,,,,,,0.021011605495326668,,music_allpieces,0.08885259320324684,mean_hr_bpm,chroma_entropy_mean,-,68.0,23.0,2.3579381636405827
all_lmm,,,,,,,0.2502285943297594,,music_allpieces,0.3753428914946391,mean_hr_bpm,tempo_bpm,-,68.0,23.0,1.1944965467610482
all_lmm,,,,,,,0.11569833835035945,,music_allpieces,0.2313966767007189,mean_hr_bpm,onset_rate_hz,-,68.0,23.0,1.545551216754453
all_lmm,,,,,,,0.48463821535282103,,music_allpieces,0.48463821535282103,rmssd_ms,chroma_entropy_mean,-,68.0,23.0,-0.7883491854735863
all_lmm,,,,,,,0.029617531067748948,,music_allpieces,0.08885259320324684,rmssd_ms,tempo_bpm,-,68.0,23.0,-2.294185431896506
all_lmm,,,,,,,0.36413228352110427,,music_allpieces,0.4369587402253251,rmssd_ms,onset_rate_hz,-,68.0,23.0,-0.9633012168089722
