test,metric,n_pairs,median_self,median_read,effect_rank_biserial,stat,p_value,p_perm,family,p_fdr,outcome,predictor,adjusted_for,n_obs,n_groups,beta
condition_contrast,rmssd_ms,22.0,20.741322447272637,15.419599070192994,0.43873517786561267,71.0,0.0737757682800293,0.7024297570242976,condition_contrast,0.11066365242004395,,,,,,
condition_contrast,mean_hr_bpm,22.0,93.27226728479275,97.21752360351994,-0.6837944664031621,40.0,0.0036711692810058594,0.12638736126387362,condition_contrast,0.022027015686035156,,,,,,
condition_contrast,RSA_P2T_Mean,22.0,16.95902762700825,14.037390380163817,0.47035573122529645,67.0,0.0542454719543457,0.3427657234276572,condition_contrast,0.11066365242004395,,,,,,
condition_contrast,resp_rate,24.0,20.230926670466594,21.440052985822035,-0.30666666666666664,104.0,0.19737839698791504,0.18438156184381563,condition_contrast,0.23685407638549805,,,,,,
condition_contrast,hf_coherence,24.0,0.24087620259278644,0.319701718518117,-0.44666666666666666,83.0,0.05642664432525635,0.041495850414958506,condition_contrast,0.11066365242004395,,,,,,
condition_contrast,hr_resp_xcorr_peak,24.0,0.3489103121380558,0.40012694433260154,-0.20666666666666667,119.0,0.3902466297149658,0.3227677232276772,condition_contrast,0.3902466297149658,,,,,,
friedman_pieces,rmssd_ms,22.0,,,,9.090909090909122,0.010615346461976512,,friedman_pieces,0.01415379528263535,,,,,,
friedman_pieces,mean_hr_bpm,22.0,,,,18.27272727272731,0.00010767817545368631,,friedman_pieces,0.00023674676596769693,,,,,,
friedman_pieces,RSA_P2T_Mean,22.0,,,,6.636363636363626,0.03621862396839698,,friedman_pieces,0.03621862396839698,,,,,,
friedman_pieces,resp_rate,24.0,,,,18.083333333333314,0.00011837338298384846,,friedman_pieces,0.00023674676596769693,,,,,,
p3_ols,,,,,,,0.11052427660858061,,music_p3,0.3527630150612074,rmssd_ms,chroma_entropy_mean,-,21.0,21.0,-3.5248216712567872
p3_ols,,,,,,,0.892632507968977,,music_p3,0.9639634569069642,rmssd_ms,is_minor,-,21.0,21.0,0.3084054545170849
p3_ols,,,,,,,0.8869936896540513,,music_p3,0.9639634569069642,rmssd_ms,tempo_bpm,-,21.0,21.0,0.3247005526956259
p3_ols,,,,,,,0.7508801474540642,,music_p3,0.9639634569069642,rmssd_ms,onset_rate_hz,-,21.0,21.0,0.72460434861138
p3_ols,,,,,,,0.19524243597936722,,music_p3,0.5020519782326586,rmssd_ms,rms_mean,-,21.0,21.0,2.8941102917557924
p3_ols,,,,,,,0.11758767168706911,,music_p3,0.3527630150612074,rmssd_ms,chroma_entropy_mean,tempo_bpm+rms_mean,21.0,21.0,-3.47867879875433
p3_ols,,,,,,,0.07086551424690464,,music_p3,0.3527630150612074,mean_hr_bpm,chroma_entropy_mean,-,21.0,21.0,8.060654692012749
p3_ols,,,,,,,0.9639634569069642,,music_p3,0.9639634569069642,mean_hr_bpm,is_minor,-,21.0,21.0,-0.21059577710133093
p3_ols,,,,,,,0.4966214689240296,,music_p3,0.9490271496311518,mean_hr_bpm,tempo_bpm,-,21.0,21.0,-3.1490828584261674
p3_ols,,,,,,,0.5676477136831258,,music_p3,0.9490271496311518,mean_hr_bpm,onset_rate_hz,-,21.0,21.0,-2.6522824309441067
p3_ols,,,,,,,0.8199838903539347,,music_p3,0.9639634569069642,mean_hr_bpm,rms_mean,-,21.0,21.0,1.0600164841834951
p3_ols,,,,,,,0.09340141773861657,,music_p3,0.3527630150612074,mean_hr_bpm,chroma_entropy_mean,tempo_bpm+rms_mean,21.0,21.0,7.864747069299482
p3_ols,,,,,,,0.5799610358857039,,music_p3,0.9490271496311518,RSA_P2T_Mean,chroma_entropy_mean,-,21.0,21.0,4.4636579172702255
p3_ols,,,,,,,0.03444335477967866,,music_p3,0.3527630150612074,RSA_P2T_Mean,is_minor,-,21.0,21.0,16.139293800141402
p3_ols,,,,,,,0.09167572348834757,,music_p3,0.3527630150612074,RSA_P2T_Mean,tempo_bpm,-,21.0,21.0,13.14907320108011
p3_ols,,,,,,,0.9248124188292947,,music_p3,0.9639634569069642,RSA_P2T_Mean,onset_rate_hz,-,21.0,21.0,-0.7642217891473082
p3_ols,,,,,,,0.8843380463432257,,music_p3,0.9639634569069642,RSA_P2T_Mean,rms_mean,-,21.0,21.0,-1.1778147140789428
p3_ols,,,,,,,0.4792370577586962,,music_p3,0.9490271496311518,RSA_P2T_Mean,chroma_entropy_mean,tempo_bpm+rms_mean,21.0,21.0,5.583881541893213
all_lmm,,,,,,,0.0791411381778348,,music_allpieces,0.2374234145335044,mean_hr_bpm,chroma_entropy_mean,-,65.0,22.0,1.8808653235243484
all_lmm,,,,,,,0.3704081640992125,,music_allpieces,0.5556122461488188,mean_hr_bpm,tempo_bpm,-,65.0,22.0,0.9089912519563236
all_lmm,,,,,,,0.035477571915817456,,music_allpieces,0.21286543149490475,mean_hr_bpm,onset_rate_hz,-,65.0,22.0,2.0335875682050224
all_lmm,,,,,,,0.6149901989149678,,music_allpieces,0.7379882386979613,rmssd_ms,chroma_entropy_mean,-,65.0,22.0,-0.7745101315883951
all_lmm,,,,,,,0.16121623049996925,,music_allpieces,0.3224324609999385,rmssd_ms,tempo_bpm,-,65.0,22.0,-1.9938885375131268
all_lmm,,,,,,,0.8030287406587591,,music_allpieces,0.8030287406587591,rmssd_ms,onset_rate_hz,-,65.0,22.0,-0.35947632195388274
condition_lmm,,,,,,,0.05172504338934621,,motor_confound,0.12069176790847451,mean_hr_bpm,,-,68.0,23.0,-3.876102955992118
condition_lmm,,,,,,,0.0059750809891517005,,motor_confound,0.041825566924061905,mean_hr_bpm,,motion_energy,65.0,23.0,-5.7624542180883465
condition_lmm,,,,,,,0.6513921671895213,,motor_confound,0.6513921671895213,rmssd_ms,,-,68.0,23.0,1.2729024133830222
condition_lmm,,,,,,,0.56887531900858,,motor_confound,0.6513921671895213,rmssd_ms,,motion_energy,65.0,23.0,1.7288776477355465
condition_lmm,,,,,,,0.3608833937253181,,motor_confound,0.5139861298863089,RSA_P2T_Mean,,-,68.0,23.0,4.517990132309166
